2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Name,ISO3
393126.946994288,396913.93653029,406462.8477036,403705.528313991,406200.993184341,408448.47899963,404237.828214077,398816.453543549,391134.100909449,385581.132806466,381519.261592783,368345.977425107,361861.387896028,357653.329899303,349885.433108928,343713.906947774,334328.142646602,320439.116819391,311914.819824229,305162.543548735,293830.709141192,289142.267681326,284766.092717838,279741.639011863,278265.898940768,Australia,AUS
64262.5639931315,67957.1211123863,67698.6586349119,70327.1670444138,72531.826129136,67682.7251493548,74066.2557920763,74268.1107226333,76934.9515340371,79588.5018807541,78388.9974250799,78023.9538963192,72126.5914446168,70299.4711482287,66274.7432545115,65660.1336422327,67047.2506680177,67455.8927304212,67667.2626980903,64202.1592201769,61189.1025048542,60790.7577213156,60432.2493410185,65903.513308256,62297.1655681668,Austria,AUT
60615.645730992,61510.987153813,60636.851387067,61128.400592577,61632.492704327,59596.205375555,63846.103794367,61563.881729088,62229.398882869,59664.73908178,58457.64761596,54845.145835185,53843.704423847,53783.847673632,53686.857490672,55033.952116896,57426.329584039,60971.816305307,57251.355700374,56005.93938238,62402.279082903,75551.755291625,87060.81028961,93649.166141388,100438.095063708,Belarus,BLR
96325.4131833302,101744.736736883,100931.595609756,104945.713770963,114155.386728776,107282.543508312,120362.609842562,118027.408646158,122319.593759433,125118.016504076,128640.48346799,127523.989700176,126015.194675856,125649.370538717,126315.209948975,124208.071769964,129737.090031462,123495.742758683,129010.471708927,125519.441990638,124426.885709848,121156.964954729,122217.919518023,123130.652897225,119982.503418506,Belgium,BEL
45139.955286201,42534.9272034699,48117.5560830313,53020.9811161954,47678.6489573594,45487.8735503956,53655.1401671903,55184.4241047849,51446.2829381283,50191.1160644292,49170.3376894348,49971.1515762142,45786.2947197982,48568.9178318705,44896.670545605,45751.789097251,52143.3567693638,54790.1341566389,57581.194759982,57221.6062924032,55649.0813153431,57203.9355176784,56551.5935722778,59769.3415026104,78197.8812570199,Bulgaria,BGR
574099.775511611,573094.038846396,563423.613154917,558152.72293811,555003.760260925,542829.458896225,577444.930222255,596041.321973836,573479.269701141,579225.335719904,585414.860574334,587306.678537712,569862.145645112,564617.020300164,572290.385518472,550183.063388038,533794.453645326,525120.011175522,510619.682210148,497224.83692526,482691.671271798,467607.237235461,468546.458912059,454246.137946001,463493.332387577,Canada,CAN
17607.3224145688,18359.4998410627,18776.3813482483,20614.4404738916,21183.709310531,21965.6352675347,23715.3843178607,24955.3759314165,23684.9350307817,23451.8458466746,23005.2348535353,23355.2211046544,22031.1266650621,20943.1099586839,19789.1217501208,20215.653226001,19372.3876004329,18666.4669752133,17587.8984604534,16992.8004192757,16342.1818762402,17081.2280227503,16607.1344792414,17268.9103457996,23390.075209187,Croatia,HRV
6878.555308563,6449.610812027,7160.971875548,7696.667805268,8004.912020822,8372.396591774,8620.395581741,8458.664261444,8152.492308125,7961.983988964,7776.909404745,7550.081927808,7160.388457603,6969.466175788,7095.964384675,6847.659115972,6580.296149717,6287.031657389,6156.132133961,5848.043785196,5977.257104602,5733.674102128,5482.974869661,5107.082886881,4621.007176785,Cyprus,CYP
101159.12216724,106477.08866661,109841.328902436,114113.146744787,115757.36858641,113970.029219436,121780.716313732,126933.162985254,125923.402444959,124590.137925265,126876.916162316,126151.648802001,122593.400101873,125541.536474736,125841.969268613,115475.259995958,123696.517294897,128732.638710869,132234.071786388,129767.166426691,129188.734109272,135588.565572531,141565.719740237,146047.33959314,161662.018871736,Czech Republic,CZE
37460.6564588265,41537.0358081307,39524.4020330104,43970.7892561051,48993.4173755474,48592.2113851369,50935.6715289027,54429.0851744511,59162.4996316885,51307.2445174626,54916.9105639724,60493.9617162995,55339.6716999691,55845.147180549,54148.9049729906,58456.4158198368,61117.3416291516,65457.8348433241,75110.840989738,61914.1610128897,64988.7809040025,61038.6712439614,58960.3115236108,64874.8138594637,54306.4333356516,Denmark,DNK
