2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Name,ISO3
522397.090711347,526882.667266593,537377.571452805,534089.798684709,533917.43629539,537889.892623617,533693.508207377,529842.870342484,522517.191663285,518850.759462375,511710.242020824,495154.085966803,494740.100776734,491441.695937142,483445.826664823,472245.9907776,466382.112471814,451721.717814666,439803.962228252,433478.650825855,424092.95937256,423764.932564252,423080.108191254,418674.057493862,418623.049562649,Australia,AUS
76332.6185859917,80042.5418408096,79897.1151021792,82626.6380188969,84946.0197097698,80190.6514378182,87101.134677129,87241.1545305627,89981.0212829735,92810.4871969534,91835.8942410282,92018.4811411606,86129.5464386255,84380.8068854374,80429.3433929845,80106.7171759132,81770.8395563128,82474.3920310851,83008.8063000899,79813.0345359956,76503.4852878471,75988.2270431512,75930.9957651566,82636.9034660686,78844.6272595357,Austria,AUT
91895.646557818,93037.24544666,90925.114581937,91671.727009572,91183.549358156,89223.65625899,92364.348971776,88920.641948088,89449.655446278,85596.098699522,83688.299567336,79158.718822027,76683.86788515,77921.8275915,77959.724959323,79497.84205671,82668.831561971,86282.505937182,82375.194219344,80369.782345399,88206.3567402,103951.525256019,116588.686464578,125601.052927806,133457.162012087,Belarus,BLR
113866.619000541,119375.301515447,118761.338189887,122833.395512317,133258.405661738,125811.802030467,138749.626056865,136451.339269181,141046.707506786,144803.082030313,148971.404765463,147579.069694206,147240.36528013,147626.133486262,149213.017245465,148062.443619472,154340.392867866,149163.455913832,157656.68711628,154020.293703539,151882.372526596,147393.394631085,148384.726816956,148825.699408439,146021.236760582,Belgium,BEL
57807.5929696422,55597.025746429,60723.4910151811,65857.6040846686,60519.1962784763,57835.9727354584,66725.3093572301,67942.4186287919,64118.3955574349,63458.9027666762,63230.7295111967,64021.3665065844,59282.0058646666,62221.3358318171,59155.0562483881,60090.1077393019,66848.6646412359,70904.4217910549,74381.0874490975,74262.0800943505,72765.6151022367,76195.2991290819,77199.3461784947,81926.0193674077,103450.784150903,Bulgaria,BGR
732418.883208087,731424.089563495,718346.886921575,709764.469822868,706402.873508569,696312.196588983,739036.728085859,758431.179853764,738096.488069233,747457.793974867,756240.206617662,754970.648842836,736272.786375682,733454.185192851,744240.711985409,721673.246637006,707998.08348331,700407.404391771,684666.716478192,665304.278405886,646008.211066791,624641.473381568,622763.761065663,605548.115938,612866.051520472,Canada,CAN
22898.8781594815,23770.5527686019,24734.6498197466,26773.8263390969,27280.229834957,27909.1256955995,29825.9471994577,30972.9120898759,29555.682228908,29285.7515786302,28875.9847673693,28782.8213260193,27420.0965723045,26394.0456777833,25172.9628559273,25519.0833654255,24459.7108462523,24126.2737653358,22882.9631499268,22296.1672493651,21712.7639767596,22658.2944835065,22538.033900319,24408.6837858286,31204.6312635073,Croatia,HRV
8453.76741329697,8020.09846997047,8769.36602589842,9296.16313035284,9571.65722046227,9872.18368832317,10093.2699679916,9913.23461665865,9567.54719307495,9307.98055927861,9144.37142221279,8914.58309273857,8519.08140283278,8282.54807082145,8326.88573407511,8059.08339104404,7799.55925734513,7473.09509160237,7343.53788019567,7046.93261063203,7103.13267836446,6858.74068732256,6559.3306354766,6121.529001151,5624.6499220004,Cyprus,CYP
124245.643140154,128972.774339361,132865.249766024,137003.693376435,138226.417774929,136167.939350653,144582.12594207,149205.282424531,148334.150388754,146556.433500574,148765.437576363,147957.675604932,144598.346007204,148191.637493571,148624.740536033,139052.757030255,148054.793462295,153873.808646794,157802.916687697,155629.711894291,155204.904912792,162967.290784898,170790.902492644,177638.103219304,196508.927567957,Czech Republic,CZE
50785.2927329648,54984.3384703086,52933.9717839898,57740.2467497557,62944.0054047267,62496.280636868,65335.9858890349,69004.0426852289,73622.6556549575,65858.2752701226,70306.8469605871,76415.1958800115,71446.8213643743,71905.3040469615,70130.8897006542,74579.4630263236,77025.3449032885,81211.7545626972,90826.2998976041,77841.8197832971,80897.0768727475,76926.0764441754,75024.6940321236,80895.753441567,70245.5311531394,Denmark,DNK
